date,amount,direction,counterparty,inn,purpose,category,activity
2026-04-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-04-08,199060.04,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-04-10,294787.43,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-04-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-04-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-04-25,443144.09,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-04-25,92385.73,out,ФНС России,7727406020,Авансовый платёж УСН 6% за 1 квартал 2026,налоги,операционная
2026-05-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-05-08,248439.68,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-05-10,412065.83,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-05-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-05-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-05-25,208309.18,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
2026-06-05,40000.00,out,Арендодатель склада,7755001122,Аренда склада,аренда,операционная
2026-06-08,223279.66,out,Фабрика-производитель «Восток Пром»,2701998877,Оплата производства партии товара,закупка товара,операционная
2026-06-10,495298.48,in,Wildberries,7721617461,"Выплата за реализованный товар (Wildberries), за минусом комиссии",выручка маркетплейс,операционная
2026-06-18,20000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №221",кредит,финансовая
2026-06-25,150000.00,out,ФОТ сотрудников (реестр),,Зарплата сотрудникам за месяц,зарплата,операционная
2026-06-25,476581.06,in,Ozon,7735642672,"Выплата за реализованный товар (Ozon), за минусом комиссии",выручка маркетплейс,операционная
