date,amount,direction,counterparty,inn,purpose,category,activity
2026-01-01,2503.68,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-01,3057.36,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-02,2874.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-02,3669.03,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-03,1638.17,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-03,3725.61,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-04,3410.82,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-04,2730.74,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-05,90000.00,out,Арендодатель ООО «Пассаж»,7701234567,Аренда торговой точки,аренда,операционная
2026-01-05,3905.41,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-05,3660.90,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-06,3183.02,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-06,2895.34,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-07,3887.81,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-07,2826.12,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-08,3094.32,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-08,2380.98,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-09,2083.32,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-09,4175.93,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-10,4017.62,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-10,42905.42,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-01-10,2883.77,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-11,1637.94,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-11,4382.46,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-12,1492.42,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-12,3693.90,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-13,3934.02,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-13,4633.38,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-14,1457.41,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-14,2224.18,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-15,12000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №445",кредит,финансовая
2026-01-15,2443.04,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-15,1426.13,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-16,1823.26,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-16,2068.51,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-17,3750.00,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-17,1802.19,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-18,1983.23,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-18,4267.91,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-19,3946.94,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-19,3567.97,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-20,38947.91,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-01-20,1629.83,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-20,4087.79,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-21,3075.29,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-21,4306.77,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-22,4466.08,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-22,1665.32,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-23,4027.40,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-23,2478.26,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-24,4509.00,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-24,2636.65,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-25,65000.00,out,Иванова А.С.,,Зарплата продавцу за месяц,зарплата,операционная
2026-01-25,2741.66,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-25,1497.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-26,1847.27,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-26,2814.34,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-27,4296.64,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-27,2847.30,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-28,4200.73,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-28,1946.12,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-29,4544.13,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-29,4404.06,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-30,2393.98,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-30,3662.16,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-31,4715.16,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-01-31,2707.08,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-01,2869.55,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-01,2022.92,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-02,2288.11,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-02,3421.29,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-03,1794.89,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-03,2781.69,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-04,1335.44,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-04,2561.05,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-05,90000.00,out,Арендодатель ООО «Пассаж»,7701234567,Аренда торговой точки,аренда,операционная
2026-02-05,3491.62,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-05,1816.77,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-06,4112.21,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-06,4496.45,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-07,1530.77,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-07,2664.35,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-08,3675.46,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-08,1681.57,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-09,4321.64,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-09,3679.96,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-10,4139.40,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-10,2919.45,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-10,39989.22,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-02-11,1370.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-11,2588.79,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-12,1360.50,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-12,3139.06,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-13,3766.21,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-13,4185.00,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-14,2108.16,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-14,3517.61,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-15,12000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №445",кредит,финансовая
2026-02-15,3435.05,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-15,4248.32,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-16,3711.64,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-16,2818.28,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-17,1867.91,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-17,1910.63,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-18,3206.48,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-18,1414.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-19,3135.80,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-19,4226.01,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-20,2131.87,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-20,2562.05,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-20,62088.28,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-02-21,3800.76,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-21,1359.53,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-22,4464.76,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-22,2992.70,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-23,3648.41,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-23,2415.12,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-24,2164.66,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-24,2212.49,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-25,1144.54,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-25,2074.49,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-25,65000.00,out,Иванова А.С.,,Зарплата продавцу за месяц,зарплата,операционная
2026-02-26,3808.61,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-26,2870.97,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-27,3579.78,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-27,4360.68,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-28,1619.85,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-02-28,2294.91,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-01,5194.76,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-01,5198.71,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-02,4948.61,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-02,1850.18,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-03,2586.51,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-03,4868.69,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-04,1527.79,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-04,1734.30,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-05,90000.00,out,Арендодатель ООО «Пассаж»,7701234567,Аренда торговой точки,аренда,операционная
2026-03-05,3830.74,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-05,3420.44,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-06,2227.47,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-06,2403.06,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-07,2228.33,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-07,1684.16,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-08,3436.23,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-08,1940.13,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-09,3760.78,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-09,5291.16,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-10,41198.57,out,Поставщик товаров ООО «Опторг»,5027001122,Оплата поставки товара по счёту,закупка товара,операционная
2026-03-10,3732.29,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-10,1351.27,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-11,1856.15,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-11,1730.43,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-12,1790.27,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-12,4163.65,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-13,5115.69,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
2026-03-13,2569.68,in,Розничный покупатель (эквайринг),,"Оплата товара, эквайринг",выручка,операционная
