date,amount,direction,counterparty,inn,purpose,category,activity
2026-10-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-10-03,188433.91,in,Клиент ООО «Заказчик-6»,7754487710,Оплата по договору оказания услуг,выручка,операционная
2026-10-04,212987.25,in,Клиент ООО «Заказчик-7»,7703156798,Оплата по договору оказания услуг,выручка,операционная
2026-10-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-10-07,279346.62,in,Клиент ООО «Заказчик-6»,7734972359,Оплата по договору оказания услуг,выручка,операционная
2026-10-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-10-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-10-25,471345.78,out,ФНС России,7727406020,Авансовый платёж УСН 15% за 3 квартал 2026,налоги,операционная
2026-11-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-11-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-11-07,236022.51,in,Клиент ООО «Заказчик-9»,7701335594,Оплата по договору оказания услуг,выручка,операционная
2026-11-09,91886.56,in,Клиент ООО «Заказчик-1»,7759898245,Оплата по договору оказания услуг,выручка,операционная
2026-11-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-11-12,128448.28,in,Клиент ООО «Заказчик-4»,7707399294,Оплата по договору оказания услуг,выручка,операционная
2026-11-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-12-01,8000.00,out,Сервис Такое SaaS,9909112233,Подписка на CRM-систему,подписки,операционная
2026-12-01,262983.25,in,Клиент ООО «Заказчик-1»,7728024995,Оплата по договору оказания услуг,выручка,операционная
2026-12-05,180000.00,out,Арендодатель ЗАО «Бизнес-центр»,7712345678,Аренда офиса,аренда,операционная
2026-12-06,263334.38,in,Клиент ООО «Заказчик-7»,7755350941,Оплата по договору оказания услуг,выручка,операционная
2026-12-12,55000.00,out,Банк «Кредитный»,7709998887,"Платёж по кредиту, договор №778",кредит,финансовая
2026-12-18,200742.04,in,Клиент ООО «Заказчик-6»,7729028654,Оплата по договору оказания услуг,выручка,операционная
2026-12-25,420000.00,out,ФОТ сотрудников (реестр),,Заработная плата сотрудникам за месяц,зарплата,операционная
2026-12-26,83738.71,in,Клиент ООО «Заказчик-6»,7768694921,Оплата по договору оказания услуг,выручка,операционная
2026-12-27,92025.85,in,Клиент ООО «Заказчик-6»,7722053532,Оплата по договору оказания услуг,выручка,операционная
2026-12-28,305992.40,out,ФНС России,7727406020,Авансовый платёж УСН 15% за 4 квартал 2026,налоги,операционная
